"Time","Sonar Distance Measure (mm)"
2023-10-05 04:10:13,3055
2023-10-05 04:20:13,2865
2023-10-05 04:30:12,2685
2023-10-05 04:40:13,2525
2023-10-05 04:50:13,2345
2023-10-05 05:00:12,2165
2023-10-05 05:10:13,1975
2023-10-05 05:20:13,1820
2023-10-05 05:30:12,1695
2023-10-05 05:40:13,1605
2023-10-05 05:50:12,1530
2023-10-05 06:00:17,1475
2023-10-05 06:10:17,1465
2023-10-05 06:20:13,1510
2023-10-05 06:30:12,1585
2023-10-05 06:40:12,1695
2023-10-05 06:50:18,1850
2023-10-05 07:00:13,2025
2023-10-05 07:10:12,2220
2023-10-05 07:20:12,2415
2023-10-05 07:30:13,2625
2023-10-05 07:40:12,2775
2023-10-05 07:50:12,2965
2023-10-05 08:00:13,3170
2023-10-05 16:10:13,2725
2023-10-05 16:20:13,2585
2023-10-05 16:30:12,2455
2023-10-05 16:40:13,2315
2023-10-05 16:50:13,2175
2023-10-05 17:00:12,2040
2023-10-05 17:10:13,1900
2023-10-05 17:20:13,1785
2023-10-05 17:30:12,1670
2023-10-05 17:40:13,1575
2023-10-05 17:50:13,1505
2023-10-05 18:00:12,1485
2023-10-05 18:10:13,1495
2023-10-05 18:20:18,1515
2023-10-05 18:30:12,1580
2023-10-05 18:40:13,1655
2023-10-05 18:50:13,1815
2023-10-05 19:00:12,1960
2023-10-05 19:10:13,2190
2023-10-05 19:20:13,2350
2023-10-05 19:30:12,2540
2023-10-05 19:40:17,2650
2023-10-05 19:50:13,2845
2023-10-05 20:00:13,3065
2023-10-05 20:10:13,3275
2023-10-05 20:20:13,3490
2023-10-05 20:30:12,3665
2023-10-06 04:40:12,3395
2023-10-06 04:50:13,3230
2023-10-06 05:00:13,3105
2023-10-06 05:10:12,2965
2023-10-06 05:20:13,2830
2023-10-06 05:30:13,2705
2023-10-06 05:40:12,2600
2023-10-06 05:50:13,2495
2023-10-06 06:00:13,2410
2023-10-06 06:10:12,2315
2023-10-06 06:20:12,2255
2023-10-06 06:30:13,2235
2023-10-06 06:40:12,2240
2023-10-06 06:50:12,2265
2023-10-06 07:00:13,2325
2023-10-06 07:10:13,2385
2023-10-06 07:20:13,2470
2023-10-06 07:30:13,2630
2023-10-06 07:40:12,2790
2023-10-06 07:50:13,2910
2023-10-06 08:00:13,3065
2023-10-06 08:10:12,3220
2023-10-06 08:20:12,3440
2023-10-06 08:30:13,3595
2023-10-06 16:40:13,3530
2023-10-06 16:50:12,3340
2023-10-06 17:00:13,3160
2023-10-06 17:10:13,3000
2023-10-06 17:20:17,2840
2023-10-06 17:30:13,2675
2023-10-06 17:40:13,2515
2023-10-06 17:50:13,2375
2023-10-06 18:00:18,2250
2023-10-06 18:10:12,2115
2023-10-06 18:20:12,2030
2023-10-06 18:30:13,1990
2023-10-06 18:40:12,1930
2023-10-06 18:50:12,1890
2023-10-06 19:00:13,1865
2023-10-06 19:10:12,1880
2023-10-06 19:20:12,1950
2023-10-06 19:30:13,2020
2023-10-06 19:40:12,2100
2023-10-06 19:50:13,2230
2023-10-06 20:00:13,2370
2023-10-06 20:10:12,2540
2023-10-07 04:20:13,3030
2023-10-07 04:30:12,2910
2023-10-07 04:40:12,2790
2023-10-07 04:50:13,2705
2023-10-07 05:00:18,2625
2023-10-07 05:10:17,2555
2023-10-07 05:20:12,2500
2023-10-07 05:30:13,2430
2023-10-07 05:40:17,2370
2023-10-07 05:50:12,2325
2023-10-07 06:00:13,2285
2023-10-07 06:10:12,2270
2023-10-07 06:20:17,2235
2023-10-07 06:30:13,2240
2023-10-07 06:40:13,2230
2023-10-07 06:50:12,2255
2023-10-07 07:00:17,2265
2023-10-07 07:10:13,2295
2023-10-07 07:20:13,2350
2023-10-07 07:30:12,2445
2023-10-07 07:40:13,2540
2023-10-07 07:50:13,2645
2023-10-07 08:00:12,2750
2023-10-07 08:10:18,2865
2023-10-07 08:20:18,3000
2023-10-07 08:30:12,3170
2023-10-07 08:40:12,3310
2023-10-07 08:50:13,3480
2023-10-07 09:00:18,3625
2023-10-07 18:10:13,3590
2023-10-07 18:20:12,3430
2023-10-07 18:30:13,3255
2023-10-07 18:40:12,3095
2023-10-07 18:50:13,2965
2023-10-07 19:00:13,2845
2023-10-07 19:10:12,2750
2023-10-07 19:20:12,2640
2023-10-07 19:30:13,2560
2023-10-07 19:40:12,2495
2023-10-07 19:50:12,2445
2023-10-07 20:00:13,2430
2023-10-07 20:10:12,2440
2023-10-07 20:20:13,2485
