,result,table,_time,water_height_mm
,_result,0,2024-01-01T02:20:13.4962831Z,2480
,_result,0,2024-01-01T02:30:12.815099438Z,2300
,_result,0,2024-01-01T02:40:13.093836489Z,2090
,_result,0,2024-01-01T02:50:13.405564039Z,1955
,_result,0,2024-01-01T03:00:12.735059069Z,1815
,_result,0,2024-01-01T03:10:13.074153858Z,1665
,_result,0,2024-01-01T03:20:13.379836262Z,1500
,_result,0,2024-01-01T03:30:12.662312303Z,1430
,_result,0,2024-01-01T03:40:12.906081519Z,1360
,_result,0,2024-01-01T03:50:13.207465274Z,1315
,_result,0,2024-01-01T04:00:12.451942788Z,1280
,_result,0,2024-01-01T04:10:12.666864674Z,1300
,_result,0,2024-01-01T04:20:13.399111585Z,1380
,_result,0,2024-01-01T04:30:12.7294623Z,1485
,_result,0,2024-01-01T04:40:13.128835192Z,1550
,_result,0,2024-01-01T04:50:13.415634361Z,1600
,_result,0,2024-01-01T05:00:12.748609796Z,1740
,_result,0,2024-01-01T05:10:13.012323399Z,1940
,_result,0,2024-01-01T05:20:13.292936093Z,2130
,_result,0,2024-01-01T05:30:12.534669959Z,2310
,_result,0,2024-01-01T05:40:12.811031063Z,2495
,_result,0,2024-01-01T05:50:13.054718867Z,2690
,_result,0,2024-01-01T06:00:13.283592469Z,2855
,_result,0,2024-01-01T06:10:12.588656396Z,3045
,_result,0,2024-01-01T06:20:12.867140841Z,3205
,_result,0,2024-01-01T06:30:13.146656481Z,3340
,_result,0,2024-01-01T14:40:13.030383088Z,3080
,_result,0,2024-01-01T14:50:13.66301368Z,2790
,_result,0,2024-01-01T15:00:13.064208818Z,2515
,_result,0,2024-01-01T15:10:13.45053455Z,2285
,_result,0,2024-01-01T15:20:12.757227945Z,2105
,_result,0,2024-01-01T15:30:13.084394972Z,1910
,_result,0,2024-01-01T15:40:13.316415983Z,1695
,_result,0,2024-01-01T15:50:12.605665347Z,1465
,_result,0,2024-01-01T16:00:12.879942359Z,1320
,_result,0,2024-01-01T16:10:13.186044177Z,1235
,_result,0,2024-01-01T16:20:13.877453274Z,1195
,_result,0,2024-01-01T16:30:13.226809067Z,1145
,_result,0,2024-01-01T16:40:12.503779617Z,1110
,_result,0,2024-01-01T16:50:12.753450046Z,1135
,_result,0,2024-01-01T17:00:13.151793974Z,1210
