,result,table,_time,water_height_mm
,_result,0,2024-01-01T00:31:19.195329073Z,-0.77
,_result,0,2024-01-01T02:01:08.003489377Z,1.01
,_result,0,2024-01-01T02:31:04.726129068Z,1.67
,_result,0,2024-01-01T02:46:08.475825874Z,1.97
,_result,0,2024-01-01T03:01:03.15992189Z,2.26
,_result,0,2024-01-01T03:16:03.099568307Z,2.54
,_result,0,2024-01-01T03:31:02.925051446Z,2.79
,_result,0,2024-01-01T03:46:03.126010597Z,3.16
,_result,0,2024-01-01T04:01:03.312575295Z,3.16
,_result,0,2024-01-01T04:16:02.401275277Z,3.33
,_result,0,2024-01-01T04:31:05.205637006Z,3.41
,_result,0,2024-01-01T04:46:03.037036367Z,3.41
,_result,0,2024-01-01T05:01:02.997055798Z,3.33
,_result,0,2024-01-01T05:16:10.453625624Z,3.18
,_result,0,2024-01-01T05:31:06.641718551Z,3.18
,_result,0,2024-01-01T05:46:02.68880626Z,2.68
,_result,0,2024-01-01T06:01:02.710219308Z,2.36
,_result,0,2024-01-01T06:16:02.61514176Z,2.02
,_result,0,2024-01-01T06:31:12.928288728Z,1.68
,_result,0,2024-01-01T06:46:03.010440314Z,1.34
,_result,0,2024-01-01T07:01:33.952771519Z,1.02
,_result,0,2024-01-01T07:16:07.818387972Z,1.02
,_result,0,2024-01-01T07:31:07.67261774Z,0.71
,_result,0,2024-01-01T07:46:05.030121714Z,0.41
,_result,0,2024-01-01T08:01:05.911884512Z,-0.17
,_result,0,2024-01-01T08:16:02.724436627Z,-0.45
,_result,0,2024-01-01T08:31:11.144791496Z,-0.7
,_result,0,2024-01-01T08:46:07.367926377Z,-0.7
,_result,0,2024-01-01T09:16:03.350629575Z,-1.35
,_result,0,2024-01-01T09:31:03.588130971Z,-1.53
,_result,0,2024-01-01T09:46:04.034512467Z,-1.68
,_result,0,2024-01-01T10:01:43.891905809Z,-1.82
,_result,0,2024-01-01T10:16:03.342665399Z,-1.93
,_result,0,2024-01-01T10:31:03.71479009Z,-2.01
,_result,0,2024-01-01T10:46:03.396505323Z,-2.07
,_result,0,2024-01-01T11:01:02.449730646Z,-2.09
,_result,0,2024-01-01T11:16:03.493761082Z,-2.09
,_result,0,2024-01-01T11:31:03.619897471Z,-2.09
,_result,0,2024-01-01T11:46:03.1755843Z,-2.06
,_result,0,2024-01-01T12:01:03.298774752Z,-2.06
,_result,0,2024-01-01T12:16:03.624513597Z,-1.93
,_result,0,2024-01-01T12:31:02.978743048Z,-1.93
,_result,0,2024-01-01T12:46:03.070853959Z,-1.61
,_result,0,2024-01-01T13:01:03.280944018Z,-1.61
,_result,0,2024-01-01T13:16:02.840821932Z,-1.05
,_result,0,2024-01-01T13:31:03.160945273Z,-1.05
,_result,0,2024-01-01T13:46:02.706069114Z,-0.77
,_result,0,2024-01-01T14:01:03.537903644Z,-0.31
,_result,0,2024-01-01T14:16:02.64293028Z,0.43
,_result,0,2024-01-01T14:31:02.827954315Z,0.43
,_result,0,2024-01-01T14:46:04.801057554Z,1.21
,_result,0,2024-01-01T15:01:03.78203719Z,1.21
,_result,0,2024-01-01T15:16:02.382652436Z,1.58
,_result,0,2024-01-01T15:31:03.322469601Z,1.97
,_result,0,2024-01-01T15:46:03.078509654Z,2.61
,_result,0,2024-01-01T16:01:03.496423995Z,2.61
,_result,0,2024-01-01T16:16:02.683508751Z,3.24
,_result,0,2024-01-01T16:31:02.689447264Z,3.24
,_result,0,2024-01-01T16:46:04.303051501Z,3.42
,_result,0,2024-01-01T17:01:11.872746168Z,3.55
,_result,0,2024-01-01T17:16:03.514664824Z,3.57
,_result,0,2024-01-01T17:31:02.95358121Z,3.57
,_result,0,2024-01-01T17:46:03.284846398Z,3.25
,_result,0,2024-01-01T18:01:02.975835671Z,3.25
,_result,0,2024-01-01T18:16:03.301314769Z,2.66
,_result,0,2024-01-01T18:31:03.083339952Z,2.66
,_result,0,2024-01-01T18:46:03.377599296Z,2.32
,_result,0,2024-01-01T19:01:03.498028299Z,1.92
,_result,0,2024-01-01T19:16:02.520775278Z,1.56
,_result,0,2024-01-01T19:31:02.843163734Z,1.22
,_result,0,2024-01-01T19:46:02.631662316Z,0.88
,_result,0,2024-01-01T20:01:03.06271127Z,0.55
,_result,0,2024-01-01T20:16:04.249715647Z,0.25
,_result,0,2024-01-01T20:31:04.698501076Z,-0.05
,_result,0,2024-01-01T20:46:03.920480383Z,-0.34
,_result,0,2024-01-01T21:01:04.022929711Z,-0.59
,_result,0,2024-01-01T21:16:03.726389148Z,-0.85
,_result,0,2024-01-01T21:31:05.164675011Z,-1.04
,_result,0,2024-01-01T21:46:05.789944435Z,-1.46
,_result,0,2024-01-01T22:01:04.913551914Z,-1.46
,_result,0,2024-01-01T22:16:03.727188878Z,-1.46
,_result,0,2024-01-01T22:31:03.994572761Z,-1.46
,_result,0,2024-01-01T22:46:03.216710746Z,-1.61
,_result,0,2024-01-01T23:01:03.370956123Z,-1.61
,_result,0,2024-01-01T23:16:03.082626546Z,-1.89
,_result,0,2024-01-01T23:31:03.487738275Z,-1.89
,_result,0,2024-01-01T23:46:03.024144282Z,-1.84
,_result,0,2024-01-02T00:01:02.933340828Z,-1.74
,_result,0,2024-01-02T00:16:03.21955555Z,-1.38
,_result,0,2024-01-02T00:31:03.190994481Z,-1.38
,_result,0,2024-01-02T00:46:02.807946635Z,-1.13
,_result,0,2024-01-02T01:01:03.300823732Z,-0.9
,_result,0,2024-01-02T01:16:02.693369499Z,-0.24
,_result,0,2024-01-02T01:31:02.58786085Z,-0.24
,_result,0,2024-01-02T01:46:02.7494633Z,0.35
,_result,0,2024-01-02T02:01:02.85831339Z,0.35
,_result,0,2024-01-02T02:16:03.231289476Z,0.66
