,result,table,_time,water_height_mm
,_result,0,2025-01-01T00:01:03.536271911Z,-0.46
,_result,0,2025-01-01T00:16:03.664042233Z,-0.11
,_result,0,2025-01-01T00:31:03.198385346Z,0.22
,_result,0,2025-01-01T00:46:02.949400819Z,0.56
,_result,0,2025-01-01T01:01:03.047462915Z,0.56
,_result,0,2025-01-01T01:16:08.784232836Z,1.25
,_result,0,2025-01-01T01:31:03.535471593Z,1.59
,_result,0,2025-01-01T01:46:03.458941129Z,1.92
,_result,0,2025-01-01T02:01:03.663559201Z,2.22
,_result,0,2025-01-01T02:16:04.273241741Z,2.45
,_result,0,2025-01-01T02:31:03.525433865Z,2.62
,_result,0,2025-01-01T02:46:04.87010994Z,2.73
,_result,0,2025-01-01T03:01:04.310174293Z,2.76
,_result,0,2025-01-01T03:16:02.996349307Z,2.68
,_result,0,2025-01-01T03:31:03.614230819Z,2.68
,_result,0,2025-01-01T03:46:02.599911978Z,2.34
,_result,0,2025-01-01T04:01:04.025288569Z,2.06
,_result,0,2025-01-01T04:16:03.291937221Z,1.7
,_result,0,2025-01-01T04:31:19.72675813Z,1.7
,_result,0,2025-01-01T04:46:02.945368059Z,1.01
,_result,0,2025-01-01T05:01:03.109313067Z,1.01
,_result,0,2025-01-01T05:16:02.899355032Z,0.42
,_result,0,2025-01-01T05:31:03.089055702Z,0.42
,_result,0,2025-01-01T05:46:03.149086941Z,-0.16
,_result,0,2025-01-01T06:01:03.70456187Z,-0.16
,_result,0,2025-01-01T06:16:04.143191548Z,-0.71
,_result,0,2025-01-01T06:31:02.90075331Z,-0.71
,_result,0,2025-01-01T06:46:05.057288255Z,-1.23
,_result,0,2025-01-01T07:01:02.67885403Z,-1.23
,_result,0,2025-01-01T07:16:03.440669719Z,-1.7
,_result,0,2025-01-01T07:31:02.373880016Z,-1.7
,_result,0,2025-01-01T07:46:03.160623765Z,-2.12
,_result,0,2025-01-01T08:01:02.531604511Z,-2.12
,_result,0,2025-01-01T08:16:08.102885384Z,-2.46
,_result,0,2025-01-01T08:31:03.571207591Z,-2.46
,_result,0,2025-01-01T08:46:03.024882007Z,-2.72
,_result,0,2025-01-01T09:01:02.669913274Z,-2.72
,_result,0,2025-01-01T09:16:02.836054496Z,-2.89
,_result,0,2025-01-01T09:31:03.917115539Z,-2.89
,_result,0,2025-01-01T09:46:03.64580685Z,-2.92
,_result,0,2025-01-01T10:01:02.899476712Z,-2.92
,_result,0,2025-01-01T10:16:02.911116869Z,-2.7
,_result,0,2025-01-01T10:31:02.861654828Z,-2.7
,_result,0,2025-01-01T10:46:02.961385258Z,-2.11
,_result,0,2025-01-01T11:01:05.07921456Z,-2.11
,_result,0,2025-01-01T11:16:02.969733281Z,-1.35
,_result,0,2025-01-01T11:31:03.398853966Z,-1.35
,_result,0,2025-01-01T11:46:02.787501053Z,-0.55
,_result,0,2025-01-01T12:01:03.244688391Z,-0.16
,_result,0,2025-01-01T12:16:03.981446803Z,0.19
,_result,0,2025-01-01T12:31:02.914484501Z,0.19
,_result,0,2025-01-01T12:46:03.069975717Z,0.86
,_result,0,2025-01-01T13:01:02.902574293Z,0.86
,_result,0,2025-01-01T13:16:02.997289421Z,1.55
,_result,0,2025-01-01T13:31:03.217638612Z,1.55
,_result,0,2025-01-01T13:46:03.331486224Z,2.24
,_result,0,2025-01-01T14:01:03.070258961Z,2.24
,_result,0,2025-01-01T14:16:02.917188156Z,2.78
,_result,0,2025-01-01T14:31:02.777692403Z,2.78
,_result,0,2025-01-01T14:46:03.268306124Z,2.96
,_result,0,2025-01-01T15:01:02.87531645Z,3.16
,_result,0,2025-01-01T15:16:04.670142783Z,3.13
,_result,0,2025-01-01T15:31:03.371114649Z,3
,_result,0,2025-01-01T15:46:03.107807057Z,2.8
,_result,0,2025-01-01T16:01:03.065613074Z,2.54
,_result,0,2025-01-01T16:16:02.945018328Z,2.23
,_result,0,2025-01-01T16:31:02.883883512Z,1.95
,_result,0,2025-01-01T16:46:02.797553567Z,1.66
,_result,0,2025-01-01T17:01:03.030202003Z,1.66
,_result,0,2025-01-01T17:16:03.314893491Z,1.08
,_result,0,2025-01-01T17:31:02.643949281Z,0.83
,_result,0,2025-01-01T17:46:03.477172078Z,0.57
,_result,0,2025-01-01T18:01:02.713890001Z,0.57
,_result,0,2025-01-01T18:16:03.649850523Z,0.08
,_result,0,2025-01-01T18:31:03.570486483Z,0.08
,_result,0,2025-01-01T18:46:03.0782423Z,-0.42
,_result,0,2025-01-01T19:01:09.965203287Z,-0.64
,_result,0,2025-01-01T19:16:02.932869503Z,-0.84
,_result,0,2025-01-01T19:31:03.684582836Z,-0.84
,_result,0,2025-01-01T19:46:03.34016918Z,-1.21
,_result,0,2025-01-01T20:01:02.778788418Z,-1.21
,_result,0,2025-01-01T20:16:03.469098712Z,-1.53
,_result,0,2025-01-01T20:31:02.742473489Z,-1.53
,_result,0,2025-01-01T20:46:03.674404844Z,-1.79
,_result,0,2025-01-01T21:01:05.055498618Z,-1.79
,_result,0,2025-01-01T21:16:02.76053567Z,-1.95
,_result,0,2025-01-01T21:31:03.43678816Z,-1.95
,_result,0,2025-01-01T21:46:02.808180246Z,-1.95
,_result,0,2025-01-01T22:01:03.046438591Z,-1.95
,_result,0,2025-01-01T22:16:02.655739687Z,-1.89
,_result,0,2025-01-01T22:31:03.773923021Z,-1.89
,_result,0,2025-01-01T22:46:02.998206471Z,-1.89
,_result,0,2025-01-01T23:01:02.740992993Z,-1.89
,_result,0,2025-01-01T23:16:11.278192977Z,-0.54
,_result,0,2025-01-01T23:31:03.164358958Z,-0.54
,_result,0,2025-01-01T23:46:03.557660409Z,0.37
,_result,0,2025-01-02T00:01:02.731420586Z,0.85
,_result,0,2025-01-02T00:16:03.337027294Z,1.32
,_result,0,2025-01-02T00:31:03.214466202Z,1.32
,_result,0,2025-01-02T00:46:02.461210836Z,2.18
,_result,0,2025-01-02T01:01:03.46950442Z,2.18
,_result,0,2025-01-02T01:16:02.735712441Z,2.87
,_result,0,2025-01-02T01:31:02.770749167Z,2.87
,_result,0,2025-01-02T01:46:02.400122038Z,3.42
,_result,0,2025-01-02T02:01:03.487383491Z,3.42
,_result,0,2025-01-02T02:16:02.971806125Z,3.82
,_result,0,2025-01-02T02:31:03.541401273Z,3.82
,_result,0,2025-01-02T02:46:03.062470671Z,4.16
,_result,0,2025-01-02T03:01:03.401358261Z,4.16
,_result,0,2025-01-02T03:16:03.252832681Z,4.25
,_result,0,2025-01-02T03:31:03.072311637Z,4.25
,_result,0,2025-01-02T03:46:03.379390876Z,3.94
,_result,0,2025-01-02T04:01:03.276195471Z,3.94
,_result,0,2025-01-02T04:16:02.821114627Z,3.35
,_result,0,2025-01-02T04:31:02.873477695Z,3.35
,_result,0,2025-01-02T04:46:02.810565498Z,2.64
,_result,0,2025-01-02T05:01:02.768701431Z,2.64
,_result,0,2025-01-02T05:16:02.66063038Z,1.96
,_result,0,2025-01-02T05:31:02.595678753Z,1.96
,_result,0,2025-01-02T05:46:02.852205992Z,1.34
,_result,0,2025-01-02T06:01:03.229393299Z,1.34
,_result,0,2025-01-02T06:16:03.365703587Z,0.75
,_result,0,2025-01-02T06:31:03.217325769Z,0.75
,_result,0,2025-01-02T06:46:03.041829011Z,0.2
,_result,0,2025-01-02T07:01:03.334192899Z,0.2
,_result,0,2025-01-02T07:16:02.912142875Z,-0.33
,_result,0,2025-01-02T07:31:03.002379516Z,-0.33
,_result,0,2025-01-02T07:46:02.489331857Z,-0.83
,_result,0,2025-01-02T08:01:03.977262977Z,-0.83
,_result,0,2025-01-02T08:16:03.103531383Z,-1.26
,_result,0,2025-01-02T08:31:03.993572871Z,-1.26
,_result,0,2025-01-02T08:46:03.16060125Z,-1.66
,_result,0,2025-01-02T09:01:03.181442438Z,-1.66
,_result,0,2025-01-02T09:16:03.134821535Z,-1.98
,_result,0,2025-01-02T09:31:02.711433099Z,-1.98
,_result,0,2025-01-02T09:46:03.728009525Z,-2.19
,_result,0,2025-01-02T10:01:03.149040238Z,-2.19
,_result,0,2025-01-02T10:16:02.945210928Z,-2.24
,_result,0,2025-01-02T10:31:03.223537424Z,-2.24
,_result,0,2025-01-02T10:46:02.464587528Z,-2.03
,_result,0,2025-01-02T11:01:03.415920522Z,-2.03
,_result,0,2025-01-02T11:16:03.872921214Z,-1.4
,_result,0,2025-01-02T11:31:03.021442469Z,-1.4
,_result,0,2025-01-02T11:46:03.337958192Z,-0.64
,_result,0,2025-01-02T12:01:23.338103003Z,-0.3
,_result,0,2025-01-02T12:16:03.336330687Z,0.08
,_result,0,2025-01-02T12:31:03.390862544Z,0.45
,_result,0,2025-01-02T12:46:18.096575401Z,0.79
,_result,0,2025-01-02T13:01:02.897271139Z,1.16
,_result,0,2025-01-02T13:16:10.565306213Z,1.16
,_result,0,2025-01-02T13:31:03.098011842Z,1.16
,_result,0,2025-01-02T13:46:02.681335444Z,2.14
,_result,0,2025-01-02T14:01:02.996163226Z,2.14
,_result,0,2025-01-02T14:16:02.914159326Z,2.69
,_result,0,2025-01-02T14:31:03.452444273Z,2.69
,_result,0,2025-01-02T14:46:02.735998113Z,3.22
,_result,0,2025-01-02T15:01:03.438892224Z,3.22
,_result,0,2025-01-02T15:16:02.986153623Z,3.75
,_result,0,2025-01-02T15:31:02.944234806Z,3.75
,_result,0,2025-01-02T15:46:02.805967277Z,4.05
,_result,0,2025-01-02T16:01:03.40164119Z,4.05
,_result,0,2025-01-02T16:16:03.717381951Z,3.96
,_result,0,2025-01-02T16:31:04.041259396Z,3.96
,_result,0,2025-01-02T16:46:02.949918604Z,3.48
,_result,0,2025-01-02T17:01:05.557535273Z,3.48
,_result,0,2025-01-02T17:16:04.050652024Z,2.74
,_result,0,2025-01-02T17:31:03.884780644Z,2.74
,_result,0,2025-01-02T17:46:03.690951915Z,2.02
,_result,0,2025-01-02T18:01:03.568660601Z,2.02
,_result,0,2025-01-02T18:16:03.192829566Z,1.68
,_result,0,2025-01-02T18:31:04.318686317Z,1.36
,_result,0,2025-01-02T18:46:03.710902053Z,0.74
,_result,0,2025-01-02T19:01:03.732426907Z,0.74
,_result,0,2025-01-02T19:16:03.148419312Z,0.15
,_result,0,2025-01-02T19:31:02.783666003Z,0.15
,_result,0,2025-01-02T19:46:03.19196776Z,-0.4
,_result,0,2025-01-02T20:01:03.296608312Z,-0.4
,_result,0,2025-01-02T20:16:03.205603454Z,-0.91
,_result,0,2025-01-02T20:31:02.630361623Z,-1.15
,_result,0,2025-01-02T20:46:04.9190138Z,-1.36
,_result,0,2025-01-02T21:01:02.873942827Z,-1.36
,_result,0,2025-01-02T21:16:03.134974863Z,-1.76
,_result,0,2025-01-02T21:31:02.688687669Z,-1.93
,_result,0,2025-01-02T21:46:03.290186675Z,-2.07
,_result,0,2025-01-02T22:01:02.698881849Z,-2.07
,_result,0,2025-01-02T22:16:06.984921771Z,-2.18
,_result,0,2025-01-02T22:31:02.823600765Z,-2.18
,_result,0,2025-01-02T22:46:02.943651472Z,-2.18
,_result,0,2025-01-02T23:01:03.302463725Z,-2.18
,_result,0,2025-01-02T23:16:03.398892089Z,-1.32
,_result,0,2025-01-02T23:31:03.647161919Z,-0.9
,_result,0,2025-01-02T23:46:02.955698749Z,-0.46
,_result,0,2025-01-03T00:01:03.475057922Z,-0.06
,_result,0,2025-01-03T00:16:02.695288106Z,0.31
,_result,0,2025-01-03T00:31:03.044340172Z,0.69
,_result,0,2025-01-03T00:46:03.371447725Z,1.05
,_result,0,2025-01-03T01:01:02.625520133Z,1.39
,_result,0,2025-01-03T01:16:03.1937436Z,1.69
,_result,0,2025-01-03T01:31:03.356427181Z,1.95
,_result,0,2025-01-03T01:46:02.789691217Z,2.2
,_result,0,2025-01-03T02:01:03.058915713Z,2.42
,_result,0,2025-01-03T02:16:03.111620513Z,2.6
,_result,0,2025-01-03T02:31:05.737201286Z,2.76
,_result,0,2025-01-03T02:46:03.327791086Z,2.93
,_result,0,2025-01-03T03:01:03.373564523Z,3.11
,_result,0,2025-01-03T03:16:02.618892747Z,3.32
,_result,0,2025-01-03T03:31:02.988661268Z,3.52
,_result,0,2025-01-03T03:46:03.297690221Z,3.66
,_result,0,2025-01-03T04:01:03.152024627Z,3.76
,_result,0,2025-01-03T04:16:03.014552391Z,3.76
,_result,0,2025-01-03T04:31:02.544912932Z,3.76
,_result,0,2025-01-03T04:46:02.908807163Z,3.5
,_result,0,2025-01-03T05:01:03.430455975Z,3.5
,_result,0,2025-01-03T05:16:02.723666918Z,2.89
,_result,0,2025-01-03T05:31:03.305340633Z,2.54
,_result,0,2025-01-03T05:46:03.431068241Z,2.2
,_result,0,2025-01-03T06:01:03.203224931Z,2.2
,_result,0,2025-01-03T06:16:02.966829969Z,1.55
,_result,0,2025-01-03T06:31:03.123098606Z,1.55
,_result,0,2025-01-03T06:46:03.164660594Z,0.92
,_result,0,2025-01-03T07:01:03.350879595Z,0.92
,_result,0,2025-01-03T07:16:03.550781164Z,0.34
,_result,0,2025-01-03T07:31:04.202868603Z,0.34
,_result,0,2025-01-03T07:46:03.966745301Z,-0.24
,_result,0,2025-01-03T08:01:03.882790058Z,-0.51
,_result,0,2025-01-03T08:16:03.64093704Z,-0.77
,_result,0,2025-01-03T08:31:02.992820524Z,-1.02
,_result,0,2025-01-03T08:46:04.301862782Z,-1.27
,_result,0,2025-01-03T09:01:04.400495391Z,-1.27
,_result,0,2025-01-03T09:16:03.238884109Z,-1.71
,_result,0,2025-01-03T09:31:03.152471724Z,-1.71
,_result,0,2025-01-03T09:46:02.543524408Z,-2.1
,_result,0,2025-01-03T10:01:03.156126974Z,-2.1
,_result,0,2025-01-03T10:16:03.421005648Z,-2.42
,_result,0,2025-01-03T10:31:03.685981469Z,-2.42
,_result,0,2025-01-03T10:46:18.286922327Z,-2.62
,_result,0,2025-01-03T11:01:02.70829975Z,-2.64
,_result,0,2025-01-03T11:16:03.277405031Z,-2.58
,_result,0,2025-01-03T11:31:02.96850824Z,-2.58
,_result,0,2025-01-03T11:46:03.790837127Z,-2.03
,_result,0,2025-01-03T12:01:03.618573817Z,-2.03
,_result,0,2025-01-03T12:16:03.397361987Z,-1.26
,_result,0,2025-01-03T12:31:03.173733324Z,-1.26
,_result,0,2025-01-03T12:46:04.425202052Z,-0.46
,_result,0,2025-01-03T13:01:02.926885194Z,-0.46
,_result,0,2025-01-03T13:16:02.764558934Z,0.41
,_result,0,2025-01-03T13:31:02.761186131Z,0.41
,_result,0,2025-01-03T13:46:03.762706819Z,1.18
,_result,0,2025-01-03T14:01:03.224674526Z,1.18
,_result,0,2025-01-03T14:16:03.357377536Z,1.89
,_result,0,2025-01-03T14:31:03.304821612Z,2.22
,_result,0,2025-01-03T14:46:03.504402989Z,2.54
,_result,0,2025-01-03T15:01:02.826251026Z,2.87
,_result,0,2025-01-03T15:16:02.682490256Z,3.2
,_result,0,2025-01-03T15:31:03.405264063Z,3.51
,_result,0,2025-01-03T15:46:02.870534816Z,3.83
,_result,0,2025-01-03T16:01:03.184623588Z,4.11
,_result,0,2025-01-03T16:16:03.380140559Z,4.31
,_result,0,2025-01-03T16:31:02.999579573Z,4.39
,_result,0,2025-01-03T16:46:03.339300305Z,4.38
,_result,0,2025-01-03T17:01:03.347492737Z,4.38
,_result,0,2025-01-03T17:16:03.73621493Z,4.06
,_result,0,2025-01-03T17:31:04.410693422Z,4.06
,_result,0,2025-01-03T17:46:03.419969722Z,3.35
,_result,0,2025-01-03T18:01:02.468871208Z,3.35
,_result,0,2025-01-03T18:16:03.375562533Z,2.56
,_result,0,2025-01-03T18:31:02.973232109Z,2.56
,_result,0,2025-01-03T18:46:03.324433782Z,1.87
,_result,0,2025-01-03T19:01:08.462478545Z,1.54
,_result,0,2025-01-03T19:16:03.164001566Z,1.22
,_result,0,2025-01-03T19:31:03.268752465Z,1.22
,_result,0,2025-01-03T19:46:04.673963089Z,0.6
,_result,0,2025-01-03T20:01:03.228183512Z,0.31
,_result,0,2025-01-03T20:16:02.954077612Z,0
,_result,0,2025-01-03T20:31:02.668948336Z,-0.26
,_result,0,2025-01-03T20:46:02.474625717Z,-0.53
,_result,0,2025-01-03T21:01:03.916615483Z,-0.78
,_result,0,2025-01-03T21:16:02.993271886Z,-1.02
,_result,0,2025-01-03T21:31:04.801999426Z,-1.02
,_result,0,2025-01-03T21:46:03.164899276Z,-1.45
,_result,0,2025-01-03T22:01:03.262487654Z,-1.45
,_result,0,2025-01-03T22:16:03.732190529Z,-1.64
,_result,0,2025-01-03T22:31:03.087179884Z,-1.64
,_result,0,2025-01-03T22:46:03.675140224Z,-1.64
,_result,0,2025-01-03T23:01:02.684428133Z,-1.64
,_result,0,2025-01-03T23:16:02.93998612Z,-2.04
,_result,0,2025-01-03T23:31:02.862157495Z,-2.04
,_result,0,2025-01-03T23:46:02.831880585Z,-1.51
,_result,0,2025-01-04T00:01:02.600233406Z,-1.51
,_result,0,2025-01-04T00:16:07.610974523Z,-0.73
,_result,0,2025-01-04T00:31:02.614759518Z,-0.73
,_result,0,2025-01-04T00:46:02.623583141Z,0.05
,_result,0,2025-01-04T01:01:02.797145468Z,0.05
,_result,0,2025-01-04T01:16:03.179021924Z,0.78
,_result,0,2025-01-04T01:31:03.247865259Z,0.78
,_result,0,2025-01-04T01:46:02.459914691Z,1.49
,_result,0,2025-01-04T02:01:03.082133614Z,1.49
,_result,0,2025-01-04T02:16:02.589749913Z,2.01
,_result,0,2025-01-04T02:31:03.117418633Z,2.23
,_result,0,2025-01-04T02:46:02.798559839Z,2.41
,_result,0,2025-01-04T03:01:04.022635493Z,2.61
,_result,0,2025-01-04T03:16:03.468144816Z,2.78
,_result,0,2025-01-04T03:31:03.068963563Z,2.95
,_result,0,2025-01-04T03:46:03.321994647Z,3.13
,_result,0,2025-01-04T04:01:02.859994489Z,3.32
,_result,0,2025-01-04T04:16:03.30853383Z,3.49
,_result,0,2025-01-04T04:31:03.372334249Z,3.63
,_result,0,2025-01-04T04:46:02.758248193Z,3.71
,_result,0,2025-01-04T05:01:03.556542027Z,3.71
,_result,0,2025-01-04T05:16:03.960861994Z,3.6
,_result,0,2025-01-04T05:31:03.244594009Z,3.39
,_result,0,2025-01-04T05:46:03.274841747Z,3.11
,_result,0,2025-01-04T06:01:03.288355366Z,2.77
,_result,0,2025-01-04T06:16:02.908961851Z,2.42
,_result,0,2025-01-04T06:31:02.420173155Z,2.42
,_result,0,2025-01-04T06:46:02.922000966Z,1.73
,_result,0,2025-01-04T07:01:03.454966863Z,1.4
,_result,0,2025-01-04T07:16:03.46867484Z,1.1
,_result,0,2025-01-04T07:31:03.035933309Z,0.8
,_result,0,2025-01-04T07:46:03.16184644Z,0.5
,_result,0,2025-01-04T08:01:03.261512733Z,0.5
,_result,0,2025-01-04T08:16:03.338164939Z,-0.08
,_result,0,2025-01-04T08:31:02.646828087Z,-0.36
,_result,0,2025-01-04T08:46:02.674146288Z,-0.62
,_result,0,2025-01-04T09:01:03.379525963Z,-0.88
,_result,0,2025-01-04T09:16:02.811508021Z,-0.88
,_result,0,2025-01-04T09:31:03.325573539Z,-0.88
,_result,0,2025-01-04T09:46:03.326124431Z,-1.59
,_result,0,2025-01-04T10:01:02.686638885Z,-1.59
,_result,0,2025-01-04T10:16:03.452837805Z,-2
,_result,0,2025-01-04T10:31:02.858624711Z,-2.15
,_result,0,2025-01-04T10:46:03.41650651Z,-2.32
,_result,0,2025-01-04T11:01:03.127847365Z,-2.44
,_result,0,2025-01-04T11:16:02.608784601Z,-2.54
,_result,0,2025-01-04T11:31:03.008871189Z,-2.59
,_result,0,2025-01-04T11:46:03.925348471Z,-2.6
,_result,0,2025-01-04T12:01:03.392754897Z,-2.57
,_result,0,2025-01-04T12:16:02.613719004Z,-2.45
,_result,0,2025-01-04T12:31:03.421804245Z,-2.26
,_result,0,2025-01-04T12:46:02.839221178Z,-1.97
,_result,0,2025-01-04T13:01:03.40222603Z,-1.65
,_result,0,2025-01-04T13:16:07.89265819Z,-1.33
,_result,0,2025-01-04T13:31:02.880795237Z,-0.98
,_result,0,2025-01-04T13:46:02.720942781Z,-0.63
,_result,0,2025-01-04T14:01:03.670279575Z,-0.26
,_result,0,2025-01-04T14:16:03.248451349Z,0.11
,_result,0,2025-01-04T14:31:02.74958743Z,0.44
,_result,0,2025-01-04T14:46:02.616444829Z,0.77
,_result,0,2025-01-04T15:01:02.710121739Z,0.77
,_result,0,2025-01-04T15:16:02.534704046Z,1.46
,_result,0,2025-01-04T15:31:02.832389936Z,1.46
,_result,0,2025-01-04T15:46:03.507871773Z,2.17
,_result,0,2025-01-04T16:01:04.751408213Z,2.17
,_result,0,2025-01-04T16:16:03.346529621Z,2.89
,_result,0,2025-01-04T16:31:03.217019768Z,2.89
,_result,0,2025-01-04T16:46:03.637962587Z,3.48
,_result,0,2025-01-04T17:01:02.941496505Z,3.48
,_result,0,2025-01-04T17:16:03.318584799Z,3.8
,_result,0,2025-01-04T17:31:02.939853148Z,3.85
,_result,0,2025-01-04T17:46:03.595629828Z,3.79
,_result,0,2025-01-04T18:01:03.294815261Z,3.79
,_result,0,2025-01-04T18:16:03.44194204Z,3.35
,_result,0,2025-01-04T18:31:02.475928654Z,3.35
,_result,0,2025-01-04T18:46:03.415502789Z,2.67
,_result,0,2025-01-04T19:01:04.199209514Z,2.67
,_result,0,2025-01-04T19:16:03.142702366Z,1.94
,_result,0,2025-01-04T19:31:02.859389524Z,1.94
,_result,0,2025-01-04T19:46:03.371617127Z,1.28
,_result,0,2025-01-04T20:01:03.083170793Z,1.28
,_result,0,2025-01-04T20:16:02.81171597Z,0.66
,_result,0,2025-01-04T20:31:03.374838725Z,0.37
,_result,0,2025-01-04T20:46:03.302588036Z,0.09
,_result,0,2025-01-04T21:01:03.111587464Z,-0.2
,_result,0,2025-01-04T21:16:03.928042357Z,-0.47
,_result,0,2025-01-04T21:31:03.549064616Z,-0.73
,_result,0,2025-01-04T21:46:03.061198504Z,-0.96
,_result,0,2025-01-04T22:01:03.482060583Z,-1.19
,_result,0,2025-01-04T22:16:03.183589607Z,-1.19
,_result,0,2025-01-04T22:31:02.830154966Z,-1.19
,_result,0,2025-01-04T22:46:02.458192122Z,-1.19
,_result,0,2025-01-04T23:01:02.710303362Z,-1.19
,_result,0,2025-01-04T23:16:03.014183384Z,-2.05
,_result,0,2025-01-04T23:31:03.67547392Z,-2.05
,_result,0,2025-01-04T23:46:02.673622753Z,-2.17
,_result,0,2025-01-05T00:01:02.830074588Z,-2.14
,_result,0,2025-01-05T00:16:02.941315192Z,-2
,_result,0,2025-01-05T00:31:02.602234648Z,-2
,_result,0,2025-01-05T00:46:02.999069697Z,-1.37
,_result,0,2025-01-05T01:01:03.243871238Z,-1.37
,_result,0,2025-01-05T01:16:02.862691242Z,-0.54
,_result,0,2025-01-05T01:31:02.617162304Z,-0.54
,_result,0,2025-01-05T01:46:03.399730058Z,0.25
,_result,0,2025-01-05T02:01:03.052709906Z,0.25
,_result,0,2025-01-05T02:16:03.230685708Z,1
,_result,0,2025-01-05T02:31:03.079201702Z,1
,_result,0,2025-01-05T02:46:03.346026431Z,1.68
,_result,0,2025-01-05T03:01:02.630646331Z,1.68
